line              time   logTeff      logL  logLgrav             M           R  logg   rho_phot    logMdot     logTc     logPc   logrhoc   logTmax   Mr_Tmax  logrhomax   eps_nucl    eps_grav      eps_nu   Mr_b_CE  normR_b_CE   logT_b logrho_b   Mr_t_CC  normR_t_CC   logT_t logrho_t     tau_max      Ro_max       tau_g        Ro_g     tau_Hp2      Ro_Hp2      tau_Hp       Ro_Hp      tau_R2       Ro_R2      tau_M2       Ro_M2   tau_max_c    Ro_max_c     tau_g_c      Ro_g_c   tau_Hp2_c    Ro_Hp2_c    tau_Hp_c     Ro_Hp_c    tau_R2_c     Ro_R2_c    tau_M2_c     Ro_M2_c     k2_conv      k2_rad     Omega_s     Omega_c     Vsurf        Prot     J_act    J_core         OOc     Vcrit      torque    B_equi        D_nu    D_nu_ech    D_nu_err      nu_max   DPi_asym.   R_acc_tot   R_acc_BCE    R_acc_He     Mbol       BC      U-B      B-V      V-R      V-I      J-K      H-K      V-K      G-V    Gbp-V    Grp-V      M_U      M_B      M_V      M_R      M_I      M_H      M_J      M_K      M_G    M_Gbp    M_Grp         H1s         H2s        He3s        He4s        Li6s        Li7s        Be7s        Be9s        B10s        B11s        C12s        C13s        C14s        N14s        N15s        O16s        O17s        O18s        F19s       Ne20s       Ne21s       Ne22s       Na23s       Mg24s       Mg25s       Mg26s       Al26s       Al27s       Si28s         H1c         H2c        He3c        He4c        C12c        C13c        C14c        N14c        N15c        O16c        O17c        O18c        F19c       Ne20c       Ne21c       Ne22c       Na23c       Mg24c       Mg25c       Mg26c       Al26c       Al27c       Si28c
   -                yr         K      Lsun      Lsun          Msun        Rsun cm/s2      g/cm3    Msun/yr         K   erg/cm3     g/cm3         K      Msun     g/cm3     erg/g/s     erg/g/s     erg/g/s       Msun          -        K    g/cm3       Msun          -        K    g/cm3          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -          yr           -           -           -       rad/s       rad/s      km/s         day   g cm2/s    gcm2/s           -      km/s     g cm2/s         G        muHz        muHz           -        muHz           s           s           s           s      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag      mag           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -           -
   1  0.0000000000E+00  3.642848  0.954254 -0.347194    0.90000000     5.18808  2.97  7.666E-08   0.000000  6.133117 13.037735 -1.226081  6.133117  0.000000 -1.226081  9.3651E+02  1.8177E+00  0.0000E+00  0.8040046  8.921E-01  3.26449 -6.35752  0.9000000  9.986E-01  3.65996 -7.10950  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  7.0075E+00  0.0000E+00  0.0000E+00  0.0000E+00  6.3979E+01  0.0000E+00  1.0331E+00  0.0000E+00  1.0173E+01  0.0000E+00  1.1915E-04  0.0000E+00  3.9617E-01  0.0000E+00  0.0000E+00  0.0000E+00  2.0541E-02  1.7225E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.0610E-05  1.0830E-05 -2.0680E-02  1.2081E-04 -1.0000E+00  4.7124E+04  4.1262E+04  4.4449E+04   2.3644  -0.6214   1.3176   1.2447   0.6588   1.2393   0.7748   0.1219   2.8361  -0.3694   0.2808  -1.1189   5.5480   4.2304   2.9857   2.3269   1.7464   0.2715   0.9244   0.1496   2.6163   3.2666   1.8669  7.1597E-01  4.8096E-05  2.9619E-05  2.6996E-01  7.4158E-10  1.0120E-08  2.4411E-32  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.2295E-11  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1597E-01  4.0596E-05  4.0869E-05  2.6996E-01  2.4475E-03  2.9658E-05  9.0919E-11  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   2  1.6714376346E+05  3.643550  0.903548  0.220927    0.90000000     4.87689  3.02  8.187E-08   0.000000  6.159215 13.141909 -1.148001  6.159215  0.000000 -1.148001  4.1526E+02  6.7011E+00  0.0000E+00  0.8040046  8.922E-01  3.26578 -6.33160  0.9000000  9.986E-01  3.66117 -7.08072  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  8.8900E+00  0.0000E+00  0.0000E+00  0.0000E+00  8.0307E+01  0.0000E+00  1.0981E+00  0.0000E+00  1.8548E-01  0.0000E+00  1.0812E-04  0.0000E+00  4.0340E-01  0.0000E+00  0.0000E+00  0.0000E+00  2.0619E-02  1.7287E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.1655E-05  1.1883E-05 -1.9570E-02  1.3660E-04 -1.0000E+00  4.2901E+04  3.7601E+04  4.0507E+04   2.4911  -0.6166   1.3096   1.2400   0.6574   1.2363   0.7720   0.1213   2.8266  -0.3679   0.2806  -1.1161   5.6574   4.3478   3.1078   2.4504   1.8715   0.4025   1.0532   0.2812   2.7399   3.3883   1.9917  7.1596E-01  4.4417E-05  3.5137E-05  2.6996E-01  7.4158E-10  1.0120E-08  1.6811E-31  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  2.1847E-12  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  7.7630E-06  9.0116E-05  2.6996E-01  2.4475E-03  2.9658E-05  1.6138E-11  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   3  2.2056797850E+05  3.644247  0.852842  0.589291    0.90000000     4.58584  3.07  8.731E-08   0.000000  6.185214 13.245628 -1.070237  6.185214  0.000000 -1.070237  1.7345E+02  1.5651E+01  0.0000E+00  0.8040046  8.923E-01  3.26729 -6.30529  0.9000000  9.987E-01  3.66184 -7.05273  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.1568E+01  0.0000E+00  0.0000E+00  0.0000E+00  1.0101E+02  0.0000E+00  1.2081E+00  0.0000E+00  5.8572E-02  0.0000E+00  9.5680E-05  0.0000E+00  4.2107E-01  0.0000E+00  0.0000E+00  0.0000E+00  2.0693E-02  1.7347E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.2796E-05  1.3032E-05 -1.8423E-02  1.5436E-04 -1.0000E+00  3.9075E+04  3.4274E+04  3.6939E+04   2.6179  -0.6122   1.3007   1.2353   0.6561   1.2337   0.7691   0.1207   2.8173  -0.3665   0.2803  -1.1136   5.7661   4.4653   3.2301   2.5740   1.9964   0.5335   1.1819   0.4128   2.8635   3.5104   2.1165  7.1596E-01  4.3736E-05  3.6159E-05  2.6996E-01  7.4158E-10  1.0120E-08  8.8249E-31  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  2.8120E-13  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  1.3623E-06  9.9718E-05  2.6996E-01  2.4475E-03  2.9658E-05  2.3390E-12  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   4  2.5072960014E+05  3.644660  0.802137  0.751345    0.90000000     4.31667  3.12  9.334E-08   0.000000  6.210586 13.347684 -0.993856  6.210586  0.000000 -0.993856  3.4169E+01  2.2722E+01  0.0000E+00  0.8040046  8.923E-01  3.26836 -6.27852  0.9000000  9.988E-01  3.66155 -7.02522  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.6985E+01  0.0000E+00  0.0000E+00  0.0000E+00  1.4582E+02  0.0000E+00  1.4181E+00  0.0000E+00  5.7282E-02  0.0000E+00  8.5921E-05  0.0000E+00  4.4361E-01  0.0000E+00  0.0000E+00  0.0000E+00  2.0766E-02  1.7404E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.4029E-05  1.4270E-05 -1.7218E-02  1.7412E-04 -1.0000E+00  3.5643E+04  3.1291E+04  3.3717E+04   2.7447  -0.6099   1.2945   1.2321   0.6557   1.2329   0.7671   0.1203   2.8118  -0.3661   0.2803  -1.1128   5.8813   4.5867   3.3546   2.6989   2.1217   0.6631   1.3098   0.5428   2.9885   3.6349   2.2418  7.1596E-01  4.3612E-05  3.6344E-05  2.6996E-01  7.4158E-10  1.0120E-08  4.7057E-30  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.7205E-14  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  1.0479E-07  1.0160E-04  2.6996E-01  2.4475E-03  2.9658E-05  1.8999E-13  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   5  2.7789366563E+05  3.645231  0.751431  0.750704    0.90000000     4.06276  3.18  9.982E-08   0.000000  6.236089 13.450048 -0.916971  6.236089  0.000000 -0.916971  4.6313E-01  2.2686E+01  0.0000E+00  0.8040046  8.924E-01  3.26856 -6.25323  0.9000000  9.989E-01  3.66079 -6.99841  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  2.1613E+01  0.0000E+00  0.0000E+00  0.0000E+00  1.9110E+02  0.0000E+00  1.5819E+00  0.0000E+00  1.6898E+00  0.0000E+00  7.7039E-05  0.0000E+00  4.5180E-01  0.0000E+00  0.0000E+00  0.0000E+00  2.0834E-02  1.7459E-01  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.5383E-05  1.5628E-05 -1.5942E-02  1.9646E-04 -1.0000E+00  3.2504E+04  2.8558E+04  3.0776E+04   2.8714  -0.6066   1.2869   1.2282   0.6548   1.2310   0.7646   0.1199   2.8043  -0.3652   0.2801  -1.1111   5.9931   4.7062   3.4780   2.8232   2.2470   0.7936   1.4383   0.6737   3.1129   3.7581   2.3669  7.1596E-01  4.3605E-05  3.6356E-05  2.6996E-01  7.4158E-10  1.0120E-08  2.6654E-29  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  4.8943E-16  7.2361E-04  1.7795E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  4.4494E-10  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  8.1091E-15  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   6  3.0883079972E+05  3.645432  0.700726  0.700735    0.90000000     3.82791  3.23  1.068E-07   0.000000  6.261197 13.550747 -0.841652  6.261197  0.000000 -0.841652  2.3587E-05  2.0216E+01  0.0000E+00  0.2918626  3.239E-01  1.18684 -2.26044  0.9000000  9.990E-01  3.65047 -6.98641  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.3055E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.9278E+02  0.0000E+00  1.5915E+00  0.0000E+00  1.4199E-01  0.0000E+00  6.8613E-05  0.0000E+00  4.5885E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.3246E-01  6.3565E-02  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.6842E-05  1.7088E-05 -1.4645E-02  2.2125E-04 -1.0000E+00  2.9689E+04  9.5096E+03  2.8136E+04   2.9982  -0.6061   1.2828   1.2261   0.6550   1.2316   0.7632   0.1196   2.8018  -0.3654   0.2801  -1.1116   6.1132   4.8304   3.6043   2.9492   2.3727   0.9221   1.5657   0.8025   3.2388   3.8844   2.4927  7.1595E-01  1.2729E-14  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  6.9385E-28  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  2.4127E-16  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  7.2250E-15  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  2.4127E-16  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   7  3.4558066170E+05  3.645618  0.650020  0.650028    0.90000000     3.60783  3.28  1.143E-07   0.000000  6.285987 13.650867 -0.766636  6.285987  0.000000 -0.766636  2.7491E-07  1.7983E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.9000000  9.991E-01  3.64604 -6.96493  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.9378E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.9378E+02  0.0000E+00  1.5920E+00  0.0000E+00  3.6606E-02  0.0000E+00  6.1693E-05  0.0000E+00  4.5956E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9659E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  1.8430E-05  1.8675E-05 -1.3295E-02  2.4901E-04 -1.0000E+00  2.7130E+04  0.0000E+00  2.5733E+04   3.1250  -0.6057   1.2788   1.2242   0.6553   1.2322   0.7620   0.1194   2.7994  -0.3657   0.2802  -1.1122   6.2337   4.9548   3.7306   3.0753   2.4985   1.0506   1.6932   0.9312   3.3649   4.0108   2.6185  7.1595E-01  7.2923E-17  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  6.1001E-27  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  4.5936E-18  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  7.2923E-17  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  4.5936E-18  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   8  3.8847672874E+05  3.645530  0.599314  0.599309    0.90000000     3.40484  3.33  1.225E-07   0.000000  6.310327 13.748879 -0.693180  6.310327  0.000000 -0.693180  4.5539E-07  1.5998E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.9000000  9.991E-01  3.64714 -6.93308  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.9511E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.9511E+02  0.0000E+00  1.5967E+00  0.0000E+00  6.3892E-02  0.0000E+00  5.5958E-05  0.0000E+00  4.6068E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9715E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.0130E-05  2.0370E-05 -1.1952E-02  2.7962E-04 -1.0000E+00  2.4839E+04  0.0000E+00  2.3577E+04   3.2517  -0.6073   1.2774   1.2237   0.6564   1.2345   0.7616   0.1194   2.8007  -0.3670   0.2804  -1.1144   6.3601   5.0827   3.8590   3.2026   2.6245   1.1777   1.8199   1.0583   3.4921   4.1394   2.7447  7.1595E-01  5.1651E-17  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  3.7864E-26  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  4.5752E-20  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  5.1651E-17  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  4.5752E-20  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
   9  4.3942959465E+05  3.645337  0.548609  0.548387    0.90000000     3.21398  3.38  1.316E-07   0.000000  6.334508 13.846610 -0.619852  6.334508  0.000000 -0.619852  6.6873E-07  1.4227E+01  0.0000E+00  0.0000000  0.000E+00  0.00000  0.00000  0.9000000  9.992E-01  3.64862 -6.90024  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.9674E+02  0.0000E+00  0.0000E+00  0.0000E+00  1.9674E+02  0.0000E+00  1.6033E+00  0.0000E+00  3.1356E-02  0.0000E+00  5.0669E-05  0.0000E+00  4.6230E-01  0.0000E+00  0.0000E+00  0.0000E+00  1.9768E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  0.00E+00  0.0000E+00  0.00E+00  0.0000E+00  0.00E+00  2.1979E-05  2.2211E-05 -1.0546E-02  3.1388E-04 -1.0000E+00  2.2748E+04  0.0000E+00  2.1606E+04   3.3785  -0.6097   1.2769   1.2237   0.6579   1.2376   0.7615   0.1194   2.8034  -0.3685   0.2807  -1.1172   6.4888   5.2119   3.9882   3.3303   2.7507   1.3042   1.9463   1.1848   3.6197   4.2689   2.8710  7.1595E-01  3.7107E-17  1.0176E-04  2.6996E-01  7.4158E-10  1.0120E-08  2.1415E-25  1.6543E-10  7.6424E-10  3.3838E-09  2.4475E-03  2.9658E-05  1.9349E-22  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04  7.1595E-01  3.7107E-17  1.0176E-04  2.6996E-01  2.4475E-03  2.9658E-05  1.9349E-22  7.2361E-04  1.7796E-06  5.9905E-03  2.4181E-06  1.3510E-05  5.2860E-07  1.2124E-03  3.0515E-06  9.8156E-05  3.0627E-05  5.7831E-04  7.6263E-05  8.7325E-05  1.0000E-50  5.8310E-05  6.4033E-04
