line                  time        mass     lg(L)  lg(Teff)        1H_surf       4He_surf       12C_surf       13C_surf       14N_surf       16O_surf       17O_surf       18O_surf      20Ne_surf      22Ne_surf  26Al_surf  Mcc/Mt   lg(Teff)  lg(Md)  lg(rhoc)    lg(Tc)         1H_cen        4He_cen        12C_cen        13C_cen        14N_cen        16O_cen        17O_cen        18O_cen       20Ne_cen       22Ne_cen   26Al_cen  Omeg_surf   Omeg_cen     Rp/Req   Md/Md(0)   v_crit1   v_crit2    v_equa  Om/Om_cr  Gamma_Ed  lg(Mdot_mech)             L_tot  log(g_pol)    R_pol     M_bol       M_V       U-B       B-V       V-R       V-I       J-K       H-K       V-K       G-V     Gbp-V     Grp-V     GFlag        BC
   -                    yr        Msun      Lsun        K      mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.       -          K   Ms/yr     g/cm3         K     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac.     mass frac. mass frac.        s-1        s-1          -          -      km/s      km/s      km/s         -         -        Msun/yr           10^53 g       cm/s2     Rsun         -         -         -         -         -         -         -         -         -         -         -         -         -
  1  0.000000000000000E+00   22.996726  4.774127  4.575993  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4965  4.575993   -7.283  0.709607  7.586588  7.1693080E-01  2.6877320E-01  2.8539482E-05  7.7882862E-06  3.9080118E-03  5.0374356E-03  1.5830706E-05  1.6069100E-08  1.8761548E-03  5.9027009E-05  2.914E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.068347  0.0000000E+00  0.0000000000E+00       4.282     5.73   -7.1853   -3.6373   -1.1549   -0.3261   -0.1426   -0.4167   -0.2180   -0.0348   -0.9206   -0.0723   -0.2897    0.3568         1   -3.5480
  2  1.448835434194957E+05   22.989156  4.778251  4.572097  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4943  4.572097   -7.280  0.690999  7.581085  7.0851630E-01  2.7735870E-01  3.6722592E-05  1.0020406E-05  5.1004465E-03  3.6647628E-03  1.1863173E-05  1.1809988E-08  1.8743723E-03  5.5313791E-06  8.865E-06  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.069021  0.0000000E+00  0.0000000000E+00       4.263     5.87   -7.1956   -3.6732   -1.1524   -0.3249   -0.1421   -0.4153   -0.2170   -0.0347   -0.9167   -0.0719   -0.2887    0.3556         1   -3.5225
  3  2.867486796844194E+05   22.981657  4.782498  4.569931  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4913  4.569931   -7.274  0.681605  7.578642  7.0029500E-01  2.8568540E-01  4.1719152E-05  1.1382954E-05  5.8263499E-03  2.8292592E-03  9.2588736E-06  9.1484247E-09  1.8729540E-03  7.4015806E-07  1.227E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.069722  0.0000000E+00  0.0000000000E+00       4.250     5.95   -7.2062   -3.6978   -1.1510   -0.3242   -0.1418   -0.4145   -0.2165   -0.0346   -0.9145   -0.0717   -0.2882    0.3549         1   -3.5085
  4  4.286138159493423E+05   22.974038  4.787041  4.568414  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4887  4.568414   -7.266  0.675782  7.577369  6.9202400E-01  2.9403040E-01  4.5258851E-05  1.2348134E-05  6.3364737E-03  2.2421193E-03  7.3733873E-06  7.2624475E-09  1.8716777E-03  1.5739701E-07  1.440E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.070479  0.0000000E+00  0.0000000000E+00       4.239     6.03   -7.2176   -3.7187   -1.1501   -0.3238   -0.1417   -0.4139   -0.2161   -0.0345   -0.9129   -0.0715   -0.2878    0.3544         1   -3.4989
  5  5.704789522142682E+05   22.966279  4.791541  4.567202  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4855  4.567202   -7.258  0.671734  7.576706  6.8365570E-01  3.0245400E-01  4.7920456E-05  1.3074418E-05  6.7161812E-03  1.8050622E-03  5.9462016E-06  5.8512505E-09  1.8704767E-03  7.9685397E-08  1.573E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.071237  0.0000000E+00  0.0000000000E+00       4.229     6.09   -7.2289   -3.7376   -1.1493   -0.3234   -0.1415   -0.4135   -0.2158   -0.0345   -0.9117   -0.0714   -0.2875    0.3540         1   -3.4913
  6  7.088729202514330E+05   22.958560  4.796183  4.566200  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4829  4.566200   -7.249  0.668979  7.576439  6.7537170E-01  3.1077950E-01  4.9974595E-05  1.3634928E-05  7.0019592E-03  1.4760519E-03  4.8555451E-06  4.7847802E-09  1.8693457E-03  7.2535373E-08  1.649E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.072027  0.0000000E+00  0.0000000000E+00       4.221     6.15   -7.2405   -3.7554   -1.1486   -0.3231   -0.1414   -0.4131   -0.2156   -0.0344   -0.9107   -0.0713   -0.2873    0.3537         1   -3.4851
  7  8.450821048219744E+05   22.950812  4.800815  4.565309  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4802  4.565309   -7.241  0.666948  7.576403  6.6711270E-01  3.1907070E-01  5.1745896E-05  1.4118106E-05  7.2233984E-03  1.2208350E-03  3.9882635E-06  3.9648035E-09  1.8682575E-03  7.6411584E-08  1.688E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.072824  0.0000000E+00  0.0000000000E+00       4.212     6.21   -7.2520   -3.7724   -1.1480   -0.3229   -0.1413   -0.4128   -0.2154   -0.0344   -0.9099   -0.0712   -0.2870    0.3534         1   -3.4796
  8  9.779678175617986E+05   22.943098  4.805259  4.564489  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4771  4.564489   -7.232  0.665404  7.576537  6.5892730E-01  3.2728130E-01  5.3093552E-05  1.4488740E-05  7.3970212E-03  1.0207935E-03  3.3077994E-06  3.3042529E-09  1.8672063E-03  8.2673860E-08  1.700E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.073598  0.0000000E+00  0.0000000000E+00       4.204     6.27   -7.2631   -3.7885   -1.1475   -0.3226   -0.1412   -0.4125   -0.2152   -0.0344   -0.9090   -0.0712   -0.2868    0.3532         1   -3.4747
  9  1.112397784226480E+06   22.935134  4.809972  4.563715  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4745  4.563715   -7.223  0.664382  7.576833  6.5051670E-01  3.3571250E-01  5.4190099E-05  1.4787887E-05  7.5394702E-03  8.5667363E-04  2.7645222E-06  2.7694376E-09  1.8661467E-03  9.0308526E-08  1.693E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.074426  0.0000000E+00  0.0000000000E+00       4.196     6.32   -7.2749   -3.8049   -1.1469   -0.3224   -0.1411   -0.4122   -0.2150   -0.0343   -0.9083   -0.0711   -0.2866    0.3529         1   -3.4700
 10  1.241555987492541E+06   22.927324  4.814549  4.562997  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4718  4.562997   -7.214  0.663689  7.577218  6.4231640E-01  3.4392900E-01  5.5077689E-05  1.5030021E-05  7.6509832E-03  7.2814603E-04  2.3406127E-06  2.3520355E-09  1.8651279E-03  9.8331124E-08  1.673E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.075241  0.0000000E+00  0.0000000000E+00       4.189     6.38   -7.2864   -3.8207   -1.1464   -0.3222   -0.1410   -0.4119   -0.2148   -0.0343   -0.9076   -0.0710   -0.2865    0.3527         1   -3.4657
 11  1.370714190758600E+06   22.919350  4.819027  4.562291  7.2000000E-01  2.6595590E-01  2.2831525E-03  2.7707436E-05  6.5875803E-04  5.7184752E-03  2.2656013E-06  1.2899741E-05  1.8768898E-03  1.5180834E-04  0.000E+00  0.4687  4.562291   -7.205  0.663130  7.577673  6.3396930E-01  3.5228940E-01  5.5829701E-05  1.5236072E-05  7.7427837E-03  6.2230181E-04  1.9916893E-06  2.0080514E-09  1.8641013E-03  1.0722970E-07  1.642E-05  0.000E+00  0.000E+00  1.000E+00  1.000E+00  0.00E+00  0.00E+00  0.00E+00  0.000000  0.076047  0.0000000E+00  0.0000000000E+00       4.181     6.43   -7.2976   -3.8361   -1.1460   -0.3220   -0.1409   -0.4116   -0.2147   -0.0343   -0.9069   -0.0710   -0.2863    0.3525         1   -3.4615
